ids,cpl1,cpl2,cpl3,cpl4,cpl5,cpl6,cpl7,cpl8
259,8.51269,10.6721,11.0131,1.07077e-08,4.11028,0.00558002,0.000744948,0.0908988
260,8.6546,10.9194,11.2749,1.05908e-08,4.11047,0.000584288,0.00283951,0.0620655
261,8.44863,10.5996,11.1469,1.08825e-08,4.26865,0.00190844,0.000400348,0.0564484
262,8.46546,10.7574,11.173,1.00736e-08,3.42579,0.00271792,0.0011832,0.0830194
263,8.24078,10.2449,8.59287,1.07862e-08,4.94078,0.00142173,0.00179259,0.0918143
264,8.53424,10.6828,12.1106,1.03229e-08,4.25883,0.00438155,0.00171099,0.0508165
265,8.35436,10.4364,10.1343,1.08251e-08,4.24134,0.00630763,0.00198317,0.0675445
266,8.29585,10.4118,9.93783,1.05264e-08,3.94738,0.00384597,0.000453645,0.0552056
267,8.53745,10.6334,10.3547,1.04699e-08,4.80305,0.00276647,0.0026604,0.0937481
268,8.46913,10.5147,9.88815,1.08825e-08,5.07079,0.00115215,0.00188346,0.0848348
269,8.27396,10.3455,9.40334,1.06297e-08,4.34215,0.00288258,0.000985739,0.0697538
270,8.38333,10.536,10.1497,1.04932e-08,3.93793,0.00381237,0.000497663,0.0508863
271,8.4,10.4102,10.0539,1.06742e-08,5.15688,0.000861986,0.000874631,0.0265279
272,8.499,10.6382,9.41794,1.0381e-08,4.21906,0.00353768,0.000790939,0.0725203
273,8.50406,10.6314,9.4271,1.03793e-08,4.21361,0.00599219,0.00162741,0.0742235
274,8.26611,10.3291,9.89624,1.05324e-08,4.48666,0.00231818,0.000749742,0.0575205
275,8.1917,10.2085,10.1254,1.06044e-08,4.56547,0.00373731,0.00127502,0.0576232
276,8.50542,10.634,9.4262,1.03822e-08,4.21051,0.00588997,0.00163697,0.0740288
277,8.53869,10.7009,9.52941,1.04086e-08,4.18571,0.00439304,0.00162974,0.0612278
278,8.58172,10.7613,9.61452,1.04138e-08,4.24025,0.00219459,0.00161294,0.0603832
279,8.3526,10.3305,10.5233,1.0427e-08,4.76966,0.00826067,0.0011609,0.0521511
280,8.44389,10.6175,10.1949,1.04325e-08,3.93915,0.00535221,0.00255758,0.0775654
281,8.5223,10.6519,9.44164,1.04496e-08,4.46526,0.00402794,0.00243731,0.0874276
282,8.48735,10.6015,9.49415,1.04193e-08,4.45983,0.00354738,0.00226295,0.0822049
283,8.47549,10.5503,9.93893,1.04566e-08,4.69187,0.00349288,0.001736,0.0548061
284,8.40025,10.449,10.1128,1.05081e-08,4.72521,0.00446017,0.00184681,0.0529027
285,8.36699,10.395,10.0457,1.04175e-08,4.61664,0.00693133,0.002223,0.065269
286,8.60141,10.8543,9.98658,1.05333e-08,4.01373,0.000921074,0.00318185,0.0575901
287,8.43664,10.5839,10.4096,1.05496e-08,4.04418,0.00624299,0.00213548,0.0577067
288,8.16997,10.0763,10.4257,1.02426e-08,4.79169,0.0113969,0.000503907,0.0565308
289,8.51633,10.7628,10.0484,1.04233e-08,3.65908,0.00447052,0.000447747,0.0607715
